asset_id,location_id,original_latitude,original_longitude,facility_name,risk_category,suburb
418,419789,-36.8027658,144.1615096,Lockwood PS TheirCare,CAT 3,Lockwood
419,131085,-36.8514541,144.1547452,Lockwood South Combined Outside School Hours Care,CAT 3,Lockwood South
420,131084,-36.8416155,144.1571113,Lockwood South Primary School,CAT 3,Lockwood South
421,303989,-38.1699151,147.088976,Longford Primary School,CAT 3,Longford
422,303988,-38.1619341,147.0866487,Longford Uniting Kindergarten,CAT 3,Longford
423,158508,-36.8067764,145.4216849,Longwood Primary School,CAT 3,Longwood
424,158508,-36.8067764,145.4216849,Longwood Primary School Council,CAT 3,Longwood
425,48236,-38.5399764,143.9736415,Lorne Kindergarten,CAT 2,Lorne
426,48236,-38.5365271,143.9732849,Lorne Occasional Child Care,CAT 2,Lorne
427,48236,-38.5390923,143.9732148,Lorne P-12 College,CAT 2,Lorne
428,37808,-38.0342846,142.0002851,Macarthur Kindergarten,CAT 3,Macarthur
429,37808,-38.0309933,142.0007981,Macarthur Primary School,CAT 3,Macarthur
430,353115,-37.8890827,145.4747589,Macclesfield Primary School,CAT 2,Macclesfield
431,353115,-37.8890827,145.4747589,Macclesfield PS TheirCare,CAT 2,Macclesfield
432,113980,-37.4259535,144.5694713,Macedon Early Learning Centre,CAT 3,Macedon
433,113980,-37.4242484,144.565468,Macedon Kindergarten,CAT 3,Macedon
434,124779,-37.4189197,144.5629283,Macedon Primary School,CAT 2,Macedon
435,124779,-37.4189197,144.5629283,Macedon Primary School Combined OSHC,CAT 2,Macedon
436,96133,-37.4616895,144.6777287,Macedon Ranges Montessori Uniting Kindergarten,CAT 3,Riddells Creek
437,423407,-36.7441255,144.2105735,Maiden Gully Primary School,CAT 3,Maiden Gully
438,423407,-36.7441255,144.2105735,Maiden Gully Primary School OSH Care,CAT 3,Maiden Gully
439,129017,-36.994673,144.069952,Maldon Neighbourhood Centre Childcare,CAT 3,Maldon
440,129017,-36.9931901,144.0680501,Maldon Preschool Centre,CAT 3,Maldon
441,129017,-36.9947145,144.0666709,Maldon Primary School,CAT 3,Maldon
442,186414,-37.5601027,149.7522528,Mallacoota P-12 College,CAT 3,Mallacoota
443,161689,-37.5594246,149.7524908,Mallacoota Preschool,CAT 3,Mallacoota
444,360941,-35.262571,141.1801579,Mallee Minors Child Care Centre - Murrayville,CAT 3,Murrayville
445,346419,-35.0708937,142.3281006,Mallee Minors Child Care Centre - Ouyen,CAT 3,Ouyen
